80's Music
Michael Jackson
Madonna
Prince
Whitney Houston
Cyndi Lauper
Bon Jovi
Def Leppard
Guns N' Roses
Duran Duran
The Police
Van Halen
Journey
Tears for Fears
Depeche Mode
The Cure
New Order
Blondie
Pat Benatar
Billy Idol
Bruce Springsteen
Phil Collins
George Michael
Wham!
Culture Club
Eurythmics
Hall & Oates
Huey Lewis and the News
Toto
Foreigner
REO Speedwagon
Heart
Joan Jett
Twisted Sister
Motley Crue
Poison
Scorpions
AC/DC
Iron Maiden
Metallica
Run-DMC
Beastie Boys
LL Cool J
Salt-N-Pepa
Talking Heads
INXS
U2
R.E.M.
The Smiths
a-ha
Rick Astley
Lionel Richie
Tina Turner
Janet Jackson
Bananarama
The Go-Go's
Cheap Trick
Styx
Dire Straits
Peter Gabriel
David Bowie
Billy Joel
ZZ Top
Bryan Adams
Men at Work
Simple Minds
Thompson Twins
Devo
The B-52's
Falco
Europe
Survivor
Starship
The Bangles
Dead or Alive
Frankie Goes to Hollywood
A Flock of Seagulls
Public Enemy
Bobby Brown
New Edition
Sade
Luther Vandross
Billie Jean
Thriller
Beat It
Like a Virgin
Material Girl
Purple Rain
When Doves Cry
Livin' on a Prayer
Sweet Child o' Mine
Every Breath You Take
Jump
Don't Stop Believin'
Take On Me
Girls Just Want to Have Fun
Time After Time
Hungry Like the Wolf
Tainted Love
Africa
Total Eclipse of the Heart
Eye of the Tiger
Careless Whisper
Wake Me Up Before You Go-Go
Never Gonna Give You Up
Walk Like an Egyptian
Come On Eileen
99 Luftballons
The Safety Dance
Everybody Wants to Rule the World
Blue Monday
Whip It
Rock You Like a Hurricane
Pour Some Sugar on Me
Welcome to the Jungle
In the Air Tonight
Footloose
Karma Chameleon
Down Under
I Love Rock 'n' Roll
Physical
We Built This City
The Final Countdown
Danger Zone
Take My Breath Away
Jessie's Girl
Centerfold
Don't You Forget About Me
Walk This Way
Fight for Your Right
Push It
Sledgehammer
Let's Dance
Money for Nothing
Girls on Film
Sweet Dreams Are Made of This
With or Without You
Faith
What's Love Got to Do with It
Livin' in America
Kokomo
Wild Boys
Rebel Yell
Uptown Girl
Modern Love
Should I Stay or Should I Go
Free Fallin'
Under Pressure
Islands in the Stream
Hit Me with Your Best Shot
Love Shack
Straight Outta Compton
Bust a Move
Nothin' but a Good Time
Here I Go Again
Every Rose Has Its Thorn
