90's Music
Nirvana
Pearl Jam
Soundgarden
Alice in Chains
Stone Temple Pilots
Smashing Pumpkins
Radiohead
Oasis
Blur
R.E.M.
Red Hot Chili Peppers
Green Day
The Offspring
Blink-182
Weezer
Beck
Rage Against the Machine
Metallica
Nine Inch Nails
Marilyn Manson
Korn
Limp Bizkit
Bush
Live
Counting Crows
Hootie & the Blowfish
Dave Matthews Band
Sublime
No Doubt
Gwen Stefani
Alanis Morissette
Sheryl Crow
Sarah McLachlan
Jewel
Fiona Apple
Tori Amos
Mariah Carey
Whitney Houston
Celine Dion
Toni Braxton
TLC
SWV
En Vogue
Boyz II Men
Salt-N-Pepa
Destiny's Child
Lauryn Hill
Fugees
Backstreet Boys
NSYNC
Spice Girls
Britney Spears
Christina Aguilera
Ricky Martin
Shania Twain
Garth Brooks
Tupac
The Notorious B.I.G.
Dr. Dre
Snoop Dogg
Wu-Tang Clan
Nas
Jay-Z
Beastie Boys
Cypress Hill
A Tribe Called Quest
Coolio
Puff Daddy
Missy Elliott
Aaliyah
Janet Jackson
Prodigy
The Chemical Brothers
Fatboy Slim
Daft Punk
Massive Attack
Portishead
Bjork
Ace of Base
Vanilla Ice
MC Hammer
Smells Like Teen Spirit
Come as You Are
Jeremy
Black Hole Sun
Man in the Box
Plush
Today
1979
Creep
Karma Police
Wonderwall
Champagne Supernova
Song 2
Losing My Religion
Under the Bridge
Give It Away
Basket Case
When I Come Around
Self Esteem
Buddy Holly
Loser
Killing in the Name
Enter Sandman
Closer
Freak on a Leash
Glycerine
Lightning Crashes
Mr. Jones
Only Wanna Be with You
Santeria
What I Got
Don't Speak
Just a Girl
You Oughta Know
Ironic
All I Wanna Do
Building a Mystery
Foolish Games
Criminal
Vision of Love
Always Be My Baby
I Will Always Love You
My Heart Will Go On
Un-Break My Heart
Waterfalls
No Scrubs
Creep
End of the Road
I'll Make Love to You
Say My Name
Doo Wop That Thing
Killing Me Softly
I Want It That Way
Everybody
Bye Bye Bye
Wannabe
Baby One More Time
Genie in a Bottle
Livin' la Vida Loca
Man I Feel Like a Woman
California Love
Changes
Juicy
Hypnotize
Nuthin' but a G Thang
Gin and Juice
C.R.E.A.M.
Hard Knock Life
Gangsta's Paradise
Mo Money Mo Problems
The Rain
Try Again
Firestarter
Block Rockin' Beats
The Rockafeller Skank
Around the World
Teardrop
The Sign
Ice Ice Baby
U Can't Touch This
Jump Around
Whoomp There It Is
Tubthumping
Semi-Charmed Life
Bitter Sweet Symphony
Torn
