2010's Music
Taylor Swift
Adele
Beyonce
Rihanna
Katy Perry
Lady Gaga
Bruno Mars
Justin Bieber
Ariana Grande
Selena Gomez
Miley Cyrus
Ed Sheeran
Sam Smith
Shawn Mendes
Halsey
Billie Eilish
Lorde
Sia
Dua Lipa
Camila Cabello
Demi Lovato
Nicki Minaj
Cardi B
Megan Thee Stallion
Drake
Kendrick Lamar
J. Cole
Travis Scott
Post Malone
Future
Migos
Childish Gambino
Chance the Rapper
Macklemore
Kanye West
Eminem
Wiz Khalifa
Lil Nas X
Juice WRLD
XXXTENTACION
The Weeknd
Frank Ocean
SZA
Khalid
Maroon 5
Imagine Dragons
Twenty One Pilots
The Chainsmokers
Calvin Harris
David Guetta
Avicii
Skrillex
Zedd
Marshmello
Daft Punk
Mumford & Sons
The Lumineers
Of Monsters and Men
Florence and the Machine
Arctic Monkeys
Tame Impala
The 1975
Bastille
Fun.
Panic! at the Disco
Fall Out Boy
Foster the People
Lana Del Rey
Hozier
Vance Joy
Luke Bryan
Florida Georgia Line
Kacey Musgraves
Chris Stapleton
BTS
Rolling in the Deep
Someone Like You
Hello
Set Fire to the Rain
Shake It Off
Blank Space
Bad Blood
Love Story
We Are Never Ever Getting Back Together
Single Ladies
Formation
Drunk in Love
Diamonds
We Found Love
Only Girl in the World
Firework
Roar
Dark Horse
Teenage Dream
Born This Way
Uptown Funk
Just the Way You Are
Locked Out of Heaven
24K Magic
Grenade
Sorry
Love Yourself
Baby
What Do You Mean
Thank U Next
7 Rings
Problem
Wrecking Ball
Party in the U.S.A.
Shape of You
Thinking Out Loud
Perfect
Castle on the Hill
Stay with Me
Stitches
Bad Guy
Royals
Chandelier
New Rules
Havana
Super Bass
Anaconda
Bodak Yellow
Hotline Bling
God's Plan
One Dance
Started from the Bottom
HUMBLE.
Alright
Swimming Pools
No Role Modelz
Sicko Mode
Rockstar
Congratulations
Bad and Boujee
Redbone
Old Town Road
Thrift Shop
Blinding Lights
The Hills
Can't Feel My Face
Radioactive
Believer
Thunder
Stressed Out
Heathens
Closer
Something Just Like This
Wake Me Up
Levels
Bangarang
Clarity
Happier
Get Lucky
Ho Hey
Little Talks
Dog Days Are Over
Do I Wanna Know
The Less I Know the Better
Pompeii
We Are Young
Pumped Up Kicks
Summertime Sadness
Take Me to Church
Riptide
Cruise
